Team,Prefix_1,Prefix_2,URL
Boston Celtics,BOS,BOSTON-CELTICS,http://www.espn.com/nba/team/_/name/bos/boston-celtics
Brooklyn Nets,BKN,BROOKLYN-NETS,http://www.espn.com/nba/team/_/name/bkn/brooklyn-nets
New York Knicks,NY,NEW-YORK-KNICKS,http://www.espn.com/nba/team/_/name/ny/new-york-knicks
Philadelphia 76ers,PHI,PHILADELPHIA-76ERS,http://www.espn.com/nba/team/_/name/phi/philadelphia-76ers
Toronto Raptors,TOR,TORONTO-RAPTORS,http://www.espn.com/nba/team/_/name/tor/toronto-raptors
Golden State Warriors,GS,GOLDEN-STATE-WARRIORS,http://www.espn.com/nba/team/_/name/gs/golden-state-warriors
LA Clippers,LAC,LA-CLIPPERS,http://www.espn.com/nba/team/_/name/lac/la-clippers
Los Angeles Lakers,LAL,LOS-ANGELES-LAKERS,http://www.espn.com/nba/team/_/name/lal/los-angeles-lakers
Phoenix Suns,PHX,PHOENIX-SUNS,http://www.espn.com/nba/team/_/name/phx/phoenix-suns
Sacramento Kings,SAC,SACRAMENTO-KINGS,http://www.espn.com/nba/team/_/name/sac/sacramento-kings
Chicago Bulls,CHI,CHICAGO-BULLS,http://www.espn.com/nba/team/_/name/chi/chicago-bulls
Cleveland Cavaliers,CLE,CLEVELAND-CAVALIERS,http://www.espn.com/nba/team/_/name/cle/cleveland-cavaliers
Detroit Pistons,DET,DETROIT-PISTONS,http://www.espn.com/nba/team/_/name/det/detroit-pistons
Indiana Pacers,IND,INDIANA-PACERS,http://www.espn.com/nba/team/_/name/ind/indiana-pacers
Milwaukee Bucks,MIL,MILWAUKEE-BUCKS,http://www.espn.com/nba/team/_/name/mil/milwaukee-bucks
Dallas Mavericks,DAL,DALLAS-MAVERICKS,http://www.espn.com/nba/team/_/name/dal/dallas-mavericks
Houston Rockets,HOU,HOUSTON-ROCKETS,http://www.espn.com/nba/team/_/name/hou/houston-rockets
Memphis Grizzlies,MEM,MEMPHIS-GRIZZLIES,http://www.espn.com/nba/team/_/name/mem/memphis-grizzlies
New Orleans Pelicans,NO,NEW-ORLEANS-PELICANS,http://www.espn.com/nba/team/_/name/no/new-orleans-pelicans
San Antonio Spurs,SA,SAN-ANTONIO-SPURS,http://www.espn.com/nba/team/_/name/sa/san-antonio-spurs
Atlanta Hawks,ATL,ATLANTA-HAWKS,http://www.espn.com/nba/team/_/name/atl/atlanta-hawks
Charlotte Hornets,CHA,CHARLOTTE-HORNETS,http://www.espn.com/nba/team/_/name/cha/charlotte-hornets
Miami Heat,MIA,MIAMI-HEAT,http://www.espn.com/nba/team/_/name/mia/miami-heat
Orlando Magic,ORL,ORLANDO-MAGIC,http://www.espn.com/nba/team/_/name/orl/orlando-magic
Washington Wizards,WSH,WASHINGTON-WIZARDS,http://www.espn.com/nba/team/_/name/wsh/washington-wizards
Denver Nuggets,DEN,DENVER-NUGGETS,http://www.espn.com/nba/team/_/name/den/denver-nuggets
Minnesota Timberwolves,MIN,MINNESOTA-TIMBERWOLVES,http://www.espn.com/nba/team/_/name/min/minnesota-timberwolves
Oklahoma City Thunder,OKC,OKLAHOMA-CITY-THUNDER,http://www.espn.com/nba/team/_/name/okc/oklahoma-city-thunder
Portland Trail Blazers,POR,PORTLAND-TRAIL-BLAZERS,http://www.espn.com/nba/team/_/name/por/portland-trail-blazers
Utah Jazz,UTAH,UTAH-JAZZ,http://www.espn.com/nba/team/_/name/utah/utah-jazz
